school_name,lea_name,lea_no,isp,eligible
Alexander Wilson Elementary,Alamance-Burlington Schools,10,0.351,
Altamahaw Ossipee Elem,Alamance-Burlington Schools,10,0.348,
B Everett Jordan Elem,Alamance-Burlington Schools,10,0.378,
Broadview Middle,Alamance-Burlington Schools,10,0.581,X
E M Yoder Elementary,Alamance-Burlington Schools,10,0.316,
Eastlawn Elementary,Alamance-Burlington Schools,10,0.699,X
Garrett Elementary,Alamance-Burlington Schools,10,0.379,
Graham High,Alamance-Burlington Schools,10,0.439,X
Graham Middle,Alamance-Burlington Schools,10,0.492,X
Grove Park Elementary,Alamance-Burlington Schools,10,0.589,X
Harvey R Newlin Elementary,Alamance-Burlington Schools,10,0.678,X
Haw River Elementary,Alamance-Burlington Schools,10,0.623,X
Hillcrest Elementary,Alamance-Burlington Schools,10,0.589,X
Hugh M Cummings High,Alamance-Burlington Schools,10,0.478,X
North Graham Elementary,Alamance-Burlington Schools,10,0.697,X
Pleasant Grove Elementary,Alamance-Burlington Schools,10,0.552,X
R Homer Andrews Elementary,Alamance-Burlington Schools,10,0.614,X
Ray Street Academy,Alamance-Burlington Schools,10,0.558,X
South Graham Elementary,Alamance-Burlington Schools,10,0.555,X
Sylvan Elementary,Alamance-Burlington Schools,10,0.443,X
Turrentine Middle,Alamance-Burlington Schools,10,0.411,X
Walter M Williams High,Alamance-Burlington Schools,10,0.348,
East Alexander Middle,Alexander County Schools,20,0.347,
Ellendale Elementary,Alexander County Schools,20,0.452,X
Hiddenite Elementary,Alexander County Schools,20,0.467,X
Stony Point Elementary,Alexander County Schools,20,0.466,X
Sugar Loaf Elementary,Alexander County Schools,20,0.311,
Taylorsville Elementary,Alexander County Schools,20,0.62,X
Wittenburg Elementary,Alexander County Schools,20,0.401,X
Alleghany High,Alleghany County Schools,30,0.339,
Glade Creek Elementary,Alleghany County Schools,30,0.425,X
Sparta Elementary,Alleghany County Schools,30,0.494,X
Anson Challenge Academy,Anson County Schools,40,0.882,X
Anson High,Anson County Schools,40,0.544,X
Anson Middle,Anson County Schools,40,0.625,X
Anson New Technology School,Anson County Schools,40,0.481,X
Ansonville Elem,Anson County Schools,40,0.405,X
Lilesville Elementary,Anson County Schools,40,0.639,X
Morven Elementary,Anson County Schools,40,0.854,X
Peachland-Polkton Elem,Anson County Schools,40,0.568,X
Wadesboro Elementary,Anson County Schools,40,0.885,X
Wadesboro Primary,Anson County Schools,40,0.865,X
Ashe County High,Ashe County Schools,50,0.307,
Ashe County Middle,Ashe County Schools,50,0.432,X
Blue Ridge Elementary,Ashe County Schools,50,0.513,X
Mountain View Elementary,Ashe County Schools,50,0.475,X
Westwood Elementary,Ashe County Schools,50,0.405,X
Avery Middle,Avery County Schools,60,0.341,
Cranberry Middle,Avery County Schools,60,0.361,
Crossnore Elementary,Avery County Schools,60,0.326,
Freedom Trail Elementary,Avery County Schools,60,0.437,X
Newland Elementary,Avery County Schools,60,0.486,X
Riverside Elementary,Avery County Schools,60,0.435,X
B C Ed Tech Center,Beaufort County Schools,70,0.829,X
Chocowinity Middle,Beaufort County Schools,70,0.433,X
Chocowinity Primary,Beaufort County Schools,70,0.536,X
Eastern Elementary,Beaufort County Schools,70,0.582,X
John C Tayloe Elementary,Beaufort County Schools,70,0.549,X
John Small Elementary,Beaufort County Schools,70,0.529,X
Northeast Elementary,Beaufort County Schools,70,0.49,X
P S Jones Middle,Beaufort County Schools,70,0.489,X
S W Snowden Elementary,Beaufort County Schools,70,0.644,X
Southside High,Beaufort County Schools,70,0.4,X
Washington High,Beaufort County Schools,70,0.393,
Aulander Elementary,Bertie County Schools,80,0.68,X
Bertie Early College,Bertie County Schools,80,0.4,X
Bertie High,Bertie County Schools,80,0.535,X
Bertie Middle School,Bertie County Schools,80,0.614,X
Colerain Elementary,Bertie County Schools,80,0.683,X
West Bertie Elementary,Bertie County Schools,80,0.777,X
Windsor Elementary,Bertie County Schools,80,0.656,X
B T Washington Primary,Bladen County Schools,90,0.774,X
Bladen Lakes Primary,Bladen County Schools,90,0.623,X
Bladenboro Middle,Bladen County Schools,90,0.514,X
Bladenboro Primary,Bladen County Schools,90,0.61,X
Clarkton Sch of Discovery,Bladen County Schools,90,0.347,
Dublin Primary,Bladen County Schools,90,0.549,X
East Arcadia Elementary,Bladen County Schools,90,0.641,X
East Bladen High,Bladen County Schools,90,0.483,X
Elizabethtown Middle,Bladen County Schools,90,0.628,X
Elizabethtown Primary,Bladen County Schools,90,0.625,X
Plain View Primary,Bladen County Schools,90,0.739,X
Tar Heel Middle,Bladen County Schools,90,0.563,X
West Bladen High,Bladen County Schools,90,0.435,X
Belville Elementary,Brunswick County Schools,100,0.369,
Bolivia Elementary,Brunswick County Schools,100,0.42,X
Brunswick County Academy,Brunswick County Schools,100,0.638,X
Cedar Grove Middle School,Brunswick County Schools,100,0.469,X
Jessie Mae Monroe Elementary,Brunswick County Schools,100,0.514,X
Leland Middle,Brunswick County Schools,100,0.412,X
Lincoln Elementary,Brunswick County Schools,100,0.608,X
North Brunswick High,Brunswick County Schools,100,0.3,
Shallotte Middle,Brunswick County Schools,100,0.385,
South Brunswick Middle,Brunswick County Schools,100,0.314,
Southport Elementary,Brunswick County Schools,100,0.394,
Supply Elementary,Brunswick County Schools,100,0.625,X
Town Creek Elementary School,Brunswick County Schools,100,0.388,
Union Elementary,Brunswick County Schools,100,0.433,X
Virginia Williamson Elem,Brunswick County Schools,100,0.523,X
Waccamaw Elementary,Brunswick County Schools,100,0.444,X
West Brunswick High,Brunswick County Schools,100,0.307,
A C Reynolds Middle,Buncombe County Schools,110,0.364,
Avery's Creek Elementary,Buncombe County Schools,110,0.461,X
Barnardsville Elementary,Buncombe County Schools,110,0.507,X
Black Mountain Elementary,Buncombe County Schools,110,0.336,
Black Mountain Primary,Buncombe County Schools,110,0.38,
Candler Elementary,Buncombe County Schools,110,0.473,X
Charles C Bell Elementary,Buncombe County Schools,110,0.319,
Charles D Owen Middle,Buncombe County Schools,110,0.386,
Charles T. Koontz Intermediate,Buncombe County Schools,110,0.323,
Clyde A Erwin High,Buncombe County Schools,110,0.361,
Clyde A Erwin Middle,Buncombe County Schools,110,0.438,X
Community High School,Buncombe County Schools,110,0.589,X
Emma Elementary,Buncombe County Schools,110,0.59,X
Enka Middle,Buncombe County Schools,110,0.381,
Fairview Elementary,Buncombe County Schools,110,0.325,
Haw Creek Elementary,Buncombe County Schools,110,0.315,
Hominy Valley Elementary,Buncombe County Schools,110,0.338,
Joe P. Eblen Intermediate,Buncombe County Schools,110,0.489,X
Johnston Elementary,Buncombe County Schools,110,0.621,X
Leicester Elementary,Buncombe County Schools,110,0.569,X
North Buncombe Elementary,Buncombe County Schools,110,0.378,
North Windy Ridge,Buncombe County Schools,110,0.331,
Oakley Elementary,Buncombe County Schools,110,0.549,X
Pisgah Elementary,Buncombe County Schools,110,0.489,X
Sand Hill-Venable Elem,Buncombe County Schools,110,0.494,X
W D Williams Elementary,Buncombe County Schools,110,0.479,X
Weaverville Elementary,Buncombe County Schools,110,0.302,
Weaverville Primary,Buncombe County Schools,110,0.315,
West Buncombe Elementary,Buncombe County Schools,110,0.409,X
William W Estes Elementary,Buncombe County Schools,110,0.347,
Woodfin Elementary,Buncombe County Schools,110,0.469,X
Asheville Middle,Asheville City Schools,111,0.33,
Hall Fletcher Elementary,Asheville City Schools,111,0.425,X
Chesterfield Elementary,Burke County Schools,120,0.469,X
Drexel Elementary,Burke County Schools,120,0.358,
East Burke Middle,Burke County Schools,120,0.306,
Forest Hill Elementary,Burke County Schools,120,0.339,
George Hildebrand Elementary,Burke County Schools,120,0.394,
Glen Alpine Elementary,Burke County Schools,120,0.363,
Hallyburton Academy,Burke County Schools,120,0.428,X
Hildebran Elementary,Burke County Schools,120,0.335,
Icard Elementary,Burke County Schools,120,0.339,
Mountain Crest,Burke County Schools,120,0.518,X
Mull Elementary,Burke County Schools,120,0.332,
Oak Hill Elementary,Burke County Schools,120,0.346,
Ray Childers Elementary,Burke County Schools,120,0.416,X
Table Rock Middle,Burke County Schools,120,0.321,
Valdese Elementary,Burke County Schools,120,0.321,
W A Young Elementary,Burke County Schools,120,0.357,
Walter R Johnson Middle,Burke County Schools,120,0.373,
A T Allen Elementary,Cabarrus County Schools,130,0.382,
Bethel Elementary,Cabarrus County Schools,130,0.301,
Beverly Hills Elementary,Cabarrus County Schools,130,0.429,X
C C Griffin Middle,Cabarrus County Schools,130,0.346,
Carl A Furr Elementary,Cabarrus County Schools,130,0.305,
Coltrane Webb Magnet Elementary,Cabarrus County Schools,130,0.376,
Concord High,Cabarrus County Schools,130,0.344,
Concord Middle,Cabarrus County Schools,130,0.552,X
Long Pre-School,Cabarrus County Schools,130,1,X
Northwest Cabarrus Middle,Cabarrus County Schools,130,0.311,
Opportunity School,Cabarrus County Schools,130,0.544,X
R B McAllister Elementary,Cabarrus County Schools,130,0.451,X
Rocky River Elementary,Cabarrus County Schools,130,0.447,X
Royal Oaks Elementary,Cabarrus County Schools,130,0.617,X
W M Irvin Elementary,Cabarrus County Schools,130,0.539,X
Weddington Hills Elementary,Cabarrus County Schools,130,0.452,X
Winecoff Elementary,Cabarrus County Schools,130,0.525,X
Winkler Middle School,Cabarrus County Schools,130,0.331,
Wolf Meadow Elementary,Cabarrus County Schools,130,0.597,X
A L Brown High,Kannapolis City Schools,132,0.385,
Forest Park Elementary,Kannapolis City Schools,132,0.505,X
Fred L Wilson Elementary,Kannapolis City Schools,132,0.619,X
Jackson Park Elementary,Kannapolis City Schools,132,0.602,X
Kannapolis Interm,Kannapolis City Schools,132,0.505,X
Kannapolis Middle,Kannapolis City Schools,132,0.481,X
McKnight Head Start,Kannapolis City Schools,132,1,X
Shady Brook Elementary,Kannapolis City Schools,132,0.608,X
Woodrow Wilson Elementary,Kannapolis City Schools,132,0.593,X
Baton Elementary,Caldwell County Schools,140,0.427,X
Caldwell Co Gateway Sch,Caldwell County Schools,140,0.75,X
Collettsville School,Caldwell County Schools,140,0.395,
Davenport Elementary,Caldwell County Schools,140,0.484,X
Dudley Shoals Elementary,Caldwell County Schools,140,0.363,
Gamewell Elementary,Caldwell County Schools,140,0.531,X
Gamewell Middle,Caldwell County Schools,140,0.535,X
Granite Falls Elementary,Caldwell County Schools,140,0.358,
Granite Falls Middle,Caldwell County Schools,140,0.3,
Happy Valley Elementary,Caldwell County Schools,140,0.42,X
Hibriten High,Caldwell County Schools,140,0.347,
Horizons Elementary,Caldwell County Schools,140,0.792,X
Hudson Elementary,Caldwell County Schools,140,0.413,X
Hudson Middle,Caldwell County Schools,140,0.352,
Kings Creek Elementary,Caldwell County Schools,140,0.308,
Lower Creek Elementary,Caldwell County Schools,140,0.327,
Oak Hill Elementary,Caldwell County Schools,140,0.355,
Sawmills Elementary,Caldwell County Schools,140,0.489,X
Valmead Basic,Caldwell County Schools,140,0.7,X
West Caldwell High,Caldwell County Schools,140,0.399,
West Lenoir Elementary,Caldwell County Schools,140,0.798,X
Whitnel Elementary,Caldwell County Schools,140,0.569,X
William Lenoir Middle,Caldwell County Schools,140,0.398,
Atlantic Elementary,Carteret County Public Schools,160,0.337,
Beaufort Elementary,Carteret County Public Schools,160,0.462,X
Beaufort Middle,Carteret County Public Schools,160,0.342,
Bogue Sound Elementary,Carteret County Public Schools,160,0.337,
Bridges Learning Center,Carteret County Public Schools,160,0.568,X
Harkers Island Elementary,Carteret County Public Schools,160,0.375,
Morehead City Primary,Carteret County Public Schools,160,0.387,
Morehead Elem at Camp Glenn,Carteret County Public Schools,160,0.321,
Newport Elementary,Carteret County Public Schools,160,0.397,
Newport Middle,Carteret County Public Schools,160,0.329,
Smyrna Elementary,Carteret County Public Schools,160,0.345,
Bartlett Yancey High,Caswell County Schools,170,0.379,
N L Dillard Middle,Caswell County Schools,170,0.472,X
North Elementary,Caswell County Schools,170,0.557,X
Oakwood Elementary,Caswell County Schools,170,0.628,X
South Elementary,Caswell County Schools,170,0.469,X
Stoney Creek Elementary,Caswell County Schools,170,0.626,X
Balls Creek Elementary,Catawba County Schools,180,0.343,
Banoak Elementary,Catawba County Schools,180,0.433,X
Blackburn Elementary,Catawba County Schools,180,0.326,
Bunker Hill High,Catawba County Schools,180,0.35,
Catawba Elementary,Catawba County Schools,180,0.447,X
Catawba Rosenwald Education Center,Catawba County Schools,180,0.431,X
Claremont Elementary,Catawba County Schools,180,0.461,X
Harry M Arndt Middle,Catawba County Schools,180,0.347,
Lyle Creek Elementary,Catawba County Schools,180,0.413,X
Maiden Elementary,Catawba County Schools,180,0.433,X
Oxford Elementary,Catawba County Schools,180,0.461,X
River Bend Middle,Catawba County Schools,180,0.369,
Saint Stephens Elementary,Catawba County Schools,180,0.588,X
Snow Creek Elementary,Catawba County Schools,180,0.3,
Startown Elementary,Catawba County Schools,180,0.323,
Webb A Murray Elementary,Catawba County Schools,180,0.462,X
Grandview Middle,Hickory City Schools,181,0.501,X
Hickory Career and Arts Magnet,Hickory City Schools,181,0.516,X
Hickory High,Hickory City Schools,181,0.337,
Longview Elementary,Hickory City Schools,181,0.736,X
Northview Middle,Hickory City Schools,181,0.361,
Oakwood Elementary,Hickory City Schools,181,0.361,
Southwest Elementary,Hickory City Schools,181,0.577,X
Viewmont Elementary,Hickory City Schools,181,0.532,X
W M Jenkins Elementary,Hickory City Schools,181,0.328,
Conover Special Education,Newton Conover City Schools,182,0.455,X
Newton-Conover High,Newton Conover City Schools,182,0.354,
Newton-Conover Middle,Newton Conover City Schools,182,0.422,X
North Newton E. S.,Newton Conover City Schools,182,0.58,X
Shuford Elementary,Newton Conover City Schools,182,0.38,
South Newton Elementary,Newton Conover City Schools,182,0.613,X
Bonlee Elementary,Chatham County Schools,190,0.315,
Chatham Middle,Chatham County Schools,190,0.391,
SAGE Academy,Chatham County Schools,190,0.46,X
Siler City Elementary,Chatham County Schools,190,0.306,
Virginia Cross Elementary School,Chatham County Schools,190,0.378,
Andrews Elementary School,Cherokee County Schools,200,0.575,X
Andrews High,Cherokee County Schools,200,0.437,X
Andrews Middle,Cherokee County Schools,200,0.468,X
Hiwassee Dam Elementary/Middle,Cherokee County Schools,200,0.398,
Marble Elementary,Cherokee County Schools,200,0.56,X
Martins Creek Elementary/Mid,Cherokee County Schools,200,0.56,X
Mountain Youth School,Cherokee County Schools,200,0.875,X
Murphy Elementary School,Cherokee County Schools,200,0.546,X
Murphy High,Cherokee County Schools,200,0.314,
Murphy Middle,Cherokee County Schools,200,0.411,X
Peachtree Elementary School,Cherokee County Schools,200,0.552,X
Ranger Elementary/Middle,Cherokee County Schools,200,0.468,X
Tri-County Early College High School,Cherokee County Schools,200,0.318,
Chowan Middle,Edenton/Chowan Schools,210,0.391,
D F Walker Elementary,Edenton/Chowan Schools,210,0.456,X
John A Holmes High,Edenton/Chowan Schools,210,0.367,
White Oak Elementary,Edenton/Chowan Schools,210,0.479,X
Hayesville Elementary,Clay County Schools,220,0.448,X
Hayesville High,Clay County Schools,220,0.317,
Hayesville Middle,Clay County Schools,220,0.418,X
Bethware Elementary,Cleveland County Schools,230,0.554,X
Boiling Springs Elementary,Cleveland County Schools,230,0.449,X
Burns High,Cleveland County Schools,230,0.378,
Burns Middle,Cleveland County Schools,230,0.477,X
Casar Elem School,Cleveland County Schools,230,0.531,X
Cleveland Early College High School,Cleveland County Schools,230,0.351,
Crest High School,Cleveland County Schools,230,0.364,
Crest Mid Sch of Technology,Cleveland County Schools,230,0.468,X
East Elementary,Cleveland County Schools,230,0.641,X
Fallston Elementary,Cleveland County Schools,230,0.564,X
Graham Elementary,Cleveland County Schools,230,0.883,X
Grover Elementary,Cleveland County Schools,230,0.632,X
James Love Elementary,Cleveland County Schools,230,0.816,X
Jefferson Elementary,Cleveland County Schools,230,0.551,X
Kings Mountain High,Cleveland County Schools,230,0.36,
Kings Mountain Intermediate,Cleveland County Schools,230,0.501,X
Kings Mountain Middle,Cleveland County Schools,230,0.436,X
Marion Elementary School,Cleveland County Schools,230,0.565,X
North Elementary,Cleveland County Schools,230,0.629,X
North Shelby,Cleveland County Schools,230,0.614,X
Shelby High,Cleveland County Schools,230,0.493,X
Shelby Intermediate School,Cleveland County Schools,230,0.626,X
Shelby Middle,Cleveland County Schools,230,0.553,X
Springmore Elementary,Cleveland County Schools,230,0.433,X
Township Three Elementary,Cleveland County Schools,230,0.665,X
Turning Point Academy,Cleveland County Schools,230,0.709,X
Union Elementary,Cleveland County Schools,230,0.565,X
Washington Math and Science,Cleveland County Schools,230,0.675,X
West Elementary,Cleveland County Schools,230,0.398,
Acme Delco Elementary,Columbus County Schools,240,0.626,X
Acme Delco Middle,Columbus County Schools,240,0.522,X
Cerro Gordo Elementary,Columbus County Schools,240,0.54,X
Chadbourn Elementary,Columbus County Schools,240,0.916,X
Chadbourn Middle,Columbus County Schools,240,0.797,X
