lea_no,lea_name,school_no,school_name,eligible,participating,isp
10,Alamance-Burlington Schools,303,A.B. Middle College,, ,0.2484
10,Alamance-Burlington Schools,304,Alexander Wilson Elementary,, ,0.3204
10,Alamance-Burlington Schools,308,Altamahaw Ossipee Elem,, ,0.3169
10,Alamance-Burlington Schools,310,Broadview Middle,X,X,0.5812
10,Alamance-Burlington Schools,312,Highland Elementary School,, ,0.2585
10,Alamance-Burlington Schools,320,E M Yoder Elementary,, ,0.3073
10,Alamance-Burlington Schools,324,Eastern Alamance High,, ,0.2042
10,Alamance-Burlington Schools,326,Eastlawn Elementary,X,X,0.6528
10,Alamance-Burlington Schools,328,Edwin M Holt Elementary,, ,0.2083
10,Alamance-Burlington Schools,340,Elon Elementary,, ,0.3074
10,Alamance-Burlington Schools,346,B Everett Jordan Elem,, ,0.378
10,Alamance-Burlington Schools,347,Garrett Elementary,, ,0.3925
10,Alamance-Burlington Schools,348,Graham High,X, ,0.4165
10,Alamance-Burlington Schools,350,Graham Middle,X, ,0.5521
10,Alamance-Burlington Schools,351,Grove Park Elementary,X,X,0.5766
10,Alamance-Burlington Schools,353,Hawfields Middle,, ,0.3239
10,Alamance-Burlington Schools,354,Harvey R Newlin Elementary,X,X,0.7189
10,Alamance-Burlington Schools,357,Haw River Elementary,X,X,0.6283
10,Alamance-Burlington Schools,358,Hillcrest Elementary,X,X,0.6144
10,Alamance-Burlington Schools,360,Hugh M Cummings High,X, ,0.4793
10,Alamance-Burlington Schools,362,Marvin B Smith Elementary,, ,0.2724
10,Alamance-Burlington Schools,364,North Graham Elementary,X,X,0.6854
10,Alamance-Burlington Schools,372,Pleasant Grove Elementary,X,X,0.4758
10,Alamance-Burlington Schools,374,R Homer Andrews Elementary,X,X,0.5824
10,Alamance-Burlington Schools,378,Ray Street Academy,X, ,0.5902
10,Alamance-Burlington Schools,380,South Graham Elementary,X,X,0.5311
10,Alamance-Burlington Schools,384,South Mebane Elementary,, ,0.2532
10,Alamance-Burlington Schools,388,Southern High,, ,0.2016
10,Alamance-Burlington Schools,390,Southern Middle,, ,0.2354
10,Alamance-Burlington Schools,392,Sylvan Elementary,X, ,0.4235
10,Alamance-Burlington Schools,394,Turrentine Middle,X, ,0.4318
10,Alamance-Burlington Schools,396,Walter M Williams High,, ,0.335
10,Alamance-Burlington Schools,400,Western Alamance High,, ,0.1693
10,Alamance-Burlington Schools,403,Western Middle,, ,0.2128
10,Alamance-Burlington Schools,406,Woodlawn Middle,, ,0.2368
20,Alexander County Schools,302,Alexander Central High,, ,0.213
20,Alexander County Schools,303,Alexander Early College,, ,0.2632
20,Alexander County Schools,304,Bethlehem Elementary,, ,0.2435
20,Alexander County Schools,306,East Alexander Middle,, ,0.3711
20,Alexander County Schools,308,Ellendale Elementary,, ,0.3494
20,Alexander County Schools,316,Hiddenite Elementary,X, ,0.4422
20,Alexander County Schools,320,Stony Point Elementary,X, ,0.4531
20,Alexander County Schools,324,Sugar Loaf Elementary,, ,0.3534
20,Alexander County Schools,328,Taylorsville Elementary,X,X,0.5401
20,Alexander County Schools,330,West Alexander Middle,, ,0.2476
20,Alexander County Schools,332,Wittenburg Elementary,, ,0.369
30,Alleghany County Schools,304,Alleghany High,, ,0.3636
30,Alleghany County Schools,308,Glade Creek Elementary,X, ,0.4494
30,Alleghany County Schools,316,Piney Creek Elementary,, ,0.2848
30,Alleghany County Schools,320,Sparta Elementary,X, ,0.5666
40,Anson County Schools,304,Anson Co. Early College High,X,X,0.4396
40,Anson County Schools,305,Anson Challenge Academy,X,X,0.9091
40,Anson County Schools,306,Anson High,X,X,0.704
40,Anson County Schools,308,Ansonville Elem,X,X,0.5377
40,Anson County Schools,309,Anson Middle,X,X,0.6809
40,Anson County Schools,311,Wadesboro Primary,X,X,0.9021
40,Anson County Schools,316,Lilesville Elementary,X,X,0.7841
40,Anson County Schools,324,Morven Elementary,X,X,0.8535
40,Anson County Schools,328,Peachland-Polkton Elem,X,X,0.5714
40,Anson County Schools,330,Wadesboro Elementary,X,X,0.8105
40,Anson County Schools,700,Anson New Technology School,X,X,0.6379
50,Ashe County Schools,302,Ashe County High,, ,0.306
50,Ashe County Schools,305,Ashe County Middle,, ,0.372
50,Ashe County Schools,310,Blue Ridge Elementary,X, ,0.417
50,Ashe County Schools,330,Mountain View Elementary,X, ,0.4716
50,Ashe County Schools,335,Westwood Elementary,, ,0.3743
60,Avery County Schools,302,Avery County High,, ,0.3172
60,Avery County Schools,304,Banner Elk Elementary,, ,0.2938
60,Avery County Schools,310,Cranberry Middle,, ,0.3222
60,Avery County Schools,316,Crossnore Elementary,, ,0.2579
60,Avery County Schools,318,Avery Middle,, ,0.3226
60,Avery County Schools,322,Freedom Trail Elementary,, ,0.3843
60,Avery County Schools,328,Newland Elementary,X, ,0.447
60,Avery County Schools,332,Riverside Elementary,X, ,0.416
70,Beaufort County Schools,302,Eastern Elementary,X,X,0.7219
70,Beaufort County Schools,308,Bath Elementary,, ,0.3277
70,Beaufort County Schools,310,B C Ed Tech Center,X,X,0.8554
70,Beaufort County Schools,311,Beaufort County Early College High School,, ,0.386
70,Beaufort County Schools,325,Chocowinity Middle,X, ,0.6475
70,Beaufort County Schools,326,Chocowinity Primary,X,X,0.6869
70,Beaufort County Schools,327,John C Tayloe Elementary,X,X,0.7122
70,Beaufort County Schools,328,John Small Elementary,X,X,0.6401
70,Beaufort County Schools,329,Northeast Elementary,X, ,0.6167
70,Beaufort County Schools,330,Northside High,, ,0.351
70,Beaufort County Schools,338,P S Jones Middle,X, ,0.6449
70,Beaufort County Schools,339,Southside High,X, ,0.636
70,Beaufort County Schools,340,S W Snowden Elementary,X,X,0.8833
70,Beaufort County Schools,342,Washington High,X, ,0.573
80,Bertie County Schools,311,Bertie Early College,X,X,0.5486
80,Bertie County Schools,312,Bertie High,X,X,0.8111
80,Bertie County Schools,314,Bertie Middle School,X,X,0.7708
80,Bertie County Schools,348,Aulander Elementary,X,X,0.8194
80,Bertie County Schools,356,West Bertie Elementary,X,X,0.8429
80,Bertie County Schools,360,Colerain Elementary,X,X,0.8498
80,Bertie County Schools,362,Windsor Elementary,X,X,0.7387
90,Bladen County Schools,304,B T Washington Primary,X,X,0.9171
90,Bladen County Schools,315,Bladenboro Middle,X,X,0.6476
90,Bladen County Schools,317,Bladenboro Primary,X,X,0.7434
90,Bladen County Schools,318,Bladen Lakes Primary,X,X,0.6974
90,Bladen County Schools,320,Clarkton Sch of Discovery,X,X,0.5867
90,Bladen County Schools,324,Dublin Primary,X,X,0.6732
90,Bladen County Schools,328,East Arcadia Elementary,X,X,0.8095
90,Bladen County Schools,330,East Bladen High,X,X,0.6436
90,Bladen County Schools,332,Elizabethtown Middle,X,X,0.6811
90,Bladen County Schools,333,Elizabethtown Primary,X,X,0.7236
90,Bladen County Schools,352,Plain View Primary,X,X,0.7882
90,Bladen County Schools,365,Tar Heel Middle,X,X,0.7027
90,Bladen County Schools,368,West Bladen High,X,X,0.6351
100,Brunswick County Schools,302,Belville Elementary,, ,0.3803
100,Brunswick County Schools,304,Bolivia Elementary,X, ,0.4889
100,Brunswick County Schools,307,Brunswick Early College,, ,0.2238
100,Brunswick County Schools,308,Brunswick County Academy,X, ,0.7182
100,Brunswick County Schools,309,Cedar Grove Middle School,X, ,0.5122
100,Brunswick County Schools,310,Jessie Mae Monroe Elementary,X, ,0.5485
100,Brunswick County Schools,316,Leland Middle,X, ,0.4332
100,Brunswick County Schools,320,Lincoln Elementary,X, ,0.6304
100,Brunswick County Schools,326,North Brunswick High,, ,0.3546
100,Brunswick County Schools,332,Shallotte Middle,X, ,0.4377
100,Brunswick County Schools,334,South Brunswick High,, ,0.3298
100,Brunswick County Schools,335,South Brunswick Middle,, ,0.3645
100,Brunswick County Schools,336,Southport Elementary,, ,0.3764
100,Brunswick County Schools,338,Supply Elementary,X, ,0.6942
100,Brunswick County Schools,339,Town Creek Elementary School,X, ,0.4109
100,Brunswick County Schools,340,Union Elementary,X, ,0.5041
100,Brunswick County Schools,342,Virginia Williamson Elem,X, ,0.5712
100,Brunswick County Schools,344,Waccamaw Elementary,X, ,0.5342
100,Brunswick County Schools,348,West Brunswick High,, ,0.3891
110,Buncombe County Schools,303,Community High School,X, ,0.6939
110,Buncombe County Schools,304,A C Reynolds High,, ,0.2059
110,Buncombe County Schools,306,A C Reynolds Middle,, ,0.3372
110,Buncombe County Schools,308,Barnardsville Elementary,X, ,0.4797
110,Buncombe County Schools,318,Black Mountain Elementary,, ,0.2896
110,Buncombe County Schools,320,Black Mountain Primary,, ,0.3632
110,Buncombe County Schools,322,Buncombe County Early College,, ,0.2147
110,Buncombe County Schools,324,Candler Elementary,X, ,0.5285
110,Buncombe County Schools,326,Cane Creek Middle,, ,0.1897
110,Buncombe County Schools,332,Charles C Bell Elementary,, ,0.2772
110,Buncombe County Schools,336,Charles D Owen High,, ,0.2615
110,Buncombe County Schools,338,Charles D Owen Middle,, ,0.3296
110,Buncombe County Schools,340,Clyde A Erwin High,, ,0.3648
110,Buncombe County Schools,342,Clyde A Erwin Middle,, ,0.3938
110,Buncombe County Schools,348,Emma Elementary,X,X,0.5234
110,Buncombe County Schools,352,Enka High,, ,0.2822
110,Buncombe County Schools,356,Fairview Elementary,, ,0.2801
110,Buncombe County Schools,366,Glen Arden Elementary,, ,0.2411
110,Buncombe County Schools,368,Haw Creek Elementary,, ,0.3173
110,Buncombe County Schools,370,Hominy Valley Elementary,, ,0.3528
110,Buncombe County Schools,372,Johnston Elementary,X,X,0.6585
110,Buncombe County Schools,376,Leicester Elementary,X, ,0.5142
110,Buncombe County Schools,379,North Buncombe Elementary,, ,0.3836
110,Buncombe County Schools,380,North Buncombe High,, ,0.216
110,Buncombe County Schools,381,North Buncombe Middle,, ,0.2804
110,Buncombe County Schools,382,North Windy Ridge,, ,0.3345
110,Buncombe County Schools,384,Oakley Elementary,X, ,0.5629
110,Buncombe County Schools,388,Pisgah Elementary,X, ,0.4795
110,Buncombe County Schools,401,Enka Middle,X, ,0.4027
110,Buncombe County Schools,408,Sand Hill-Venable Elem,X, ,0.4896
110,Buncombe County Schools,410,Avery's Creek Elementary,X, ,0.4158
110,Buncombe County Schools,412,W D Williams Elementary,X, ,0.4621
110,Buncombe County Schools,416,T C Roberson High,, ,0.2113
110,Buncombe County Schools,420,Valley Springs Middle,, ,0.2702
110,Buncombe County Schools,422,William W Estes Elementary,, ,0.3401
110,Buncombe County Schools,425,Enka Intermediate School,, ,0.3877
110,Buncombe County Schools,428,Weaverville Elementary,, ,0.2472
110,Buncombe County Schools,432,Weaverville Primary,, ,0.3049
110,Buncombe County Schools,436,West Buncombe Elementary,, ,0.392
110,Buncombe County Schools,444,Woodfin Elementary,X,X,0.4685
110,Buncombe County Schools,450,Charles T. Koontz Intermediate,, ,0.2962
110,Buncombe County Schools,451,Joe P. Eblen Intermediate,X, ,0.4571
110,Buncombe County Schools,500,Nesbitt Discovery Academy,, ,0.1126
111,Asheville City Schools,302,Asheville High,, ,0.2663
111,Asheville City Schools,304,Hall Fletcher Elementary,X, ,0.493
