lea_no,lea_name,school_no,school_name,isp,eligible,participating
010,Alamance-Burlington Schools,303,A.B. Middle College,0.17, , 
010,Alamance-Burlington Schools,304,Alexander Wilson Elementary,0.29, , 
010,Alamance-Burlington Schools,308,Altamahaw Ossipee Elem,0.31, , 
010,Alamance-Burlington Schools,310,Broadview Middle,0.55,X,X
010,Alamance-Burlington Schools,312,Highland Elementary School,0.24, , 
010,Alamance-Burlington Schools,320,E M Yoder Elementary,0.29, , 
010,Alamance-Burlington Schools,324,Eastern Alamance High,0.23, , 
010,Alamance-Burlington Schools,326,Eastlawn Elementary,0.61,X,X
010,Alamance-Burlington Schools,328,Edwin M Holt Elementary,0.19, , 
010,Alamance-Burlington Schools,340,Elon Elementary,0.30, , 
010,Alamance-Burlington Schools,346,B Everett Jordan Elem,0.36, , 
010,Alamance-Burlington Schools,347,Garrett Elementary,0.36, , 
010,Alamance-Burlington Schools,348,Graham High,0.44,X, 
010,Alamance-Burlington Schools,350,Graham Middle,0.52,X, 
010,Alamance-Burlington Schools,351,Grove Park Elementary,0.61,X,X
010,Alamance-Burlington Schools,353,Hawfields Middle,0.31, , 
010,Alamance-Burlington Schools,354,Harvey R Newlin Elementary,0.69,X,X
010,Alamance-Burlington Schools,357,Haw River Elementary,0.55,X,X
010,Alamance-Burlington Schools,358,Hillcrest Elementary,0.57,X,X
010,Alamance-Burlington Schools,360,Hugh M Cummings High,0.48,X, 
010,Alamance-Burlington Schools,362,Marvin B Smith Elementary,0.28, , 
010,Alamance-Burlington Schools,364,North Graham Elementary,0.63,X,X
010,Alamance-Burlington Schools,372,Pleasant Grove Elementary,0.52,X,X
010,Alamance-Burlington Schools,374,R Homer Andrews Elementary,0.53,X,X
010,Alamance-Burlington Schools,378,Ray Street Academy,0.64,X, 
010,Alamance-Burlington Schools,380,South Graham Elementary,0.46,X,X
010,Alamance-Burlington Schools,384,South Mebane Elementary,0.26, , 
010,Alamance-Burlington Schools,388,Southern High,0.21, , 
010,Alamance-Burlington Schools,390,Southern Middle,0.26, , 
010,Alamance-Burlington Schools,392,Sylvan Elementary,0.44,X, 
010,Alamance-Burlington Schools,394,Turrentine Middle,0.41,X, 
010,Alamance-Burlington Schools,396,Walter M Williams High,0.31, , 
010,Alamance-Burlington Schools,400,Western Alamance High,0.16, , 
010,Alamance-Burlington Schools,403,Western Middle,0.24, , 
010,Alamance-Burlington Schools,406,Woodlawn Middle,0.29, , 
020,Alexander County Schools,302,Alexander Central High,0.20, , 
020,Alexander County Schools,303,Alexander Early College,0.00, , 
020,Alexander County Schools,304,Bethlehem Elementary,0.20, , 
020,Alexander County Schools,306,East Alexander Middle,0.34, , 
020,Alexander County Schools,308,Ellendale Elementary,0.29, , 
020,Alexander County Schools,316,Hiddenite Elementary,0.36, , 
020,Alexander County Schools,320,Stony Point Elementary,0.35, , 
020,Alexander County Schools,324,Sugar Loaf Elementary,0.27, , 
020,Alexander County Schools,328,Taylorsville Elementary,0.39, ,X
020,Alexander County Schools,330,West Alexander Middle,0.22, , 
020,Alexander County Schools,332,Wittenburg Elementary,0.32, , 
030,Alleghany County Schools,304,Alleghany High,0.33, , 
030,Alleghany County Schools,308,Glade Creek Elementary,0.48,X, 
030,Alleghany County Schools,316,Piney Creek Elementary,0.30, , 
030,Alleghany County Schools,320,Sparta Elementary,0.52,X, 
040,Anson County Schools,304,Anson Co. Early College High,0.34, ,X
040,Anson County Schools,305,Anson Challenge Academy,0.67,X,X
040,Anson County Schools,306,Anson High,0.51,X,X
040,Anson County Schools,308,Ansonville Elem,0.44,X,X
040,Anson County Schools,309,Anson Middle,0.56,X,X
040,Anson County Schools,311,Wadesboro Primary,0.82,X,X
040,Anson County Schools,316,Lilesville Elementary,0.66,X,X
040,Anson County Schools,324,Morven Elementary,0.76,X,X
040,Anson County Schools,328,Peachland-Polkton Elem,0.47,X,X
040,Anson County Schools,330,Wadesboro Elementary,0.72,X,X
050,Ashe County Schools,302,Ashe County High,0.29, , 
050,Ashe County Schools,303,Ashe County Early College High School,0.18, , 
050,Ashe County Schools,305,Ashe County Middle,0.35, , 
050,Ashe County Schools,310,Blue Ridge Elementary,0.35, , 
050,Ashe County Schools,330,Mountain View Elementary,0.45,X, 
050,Ashe County Schools,335,Westwood Elementary,0.40, , 
060,Avery County Schools,302,Avery County High,0.22, , 
060,Avery County Schools,304,Banner Elk Elementary,0.24, , 
060,Avery County Schools,310,Cranberry Middle,0.30, , 
060,Avery County Schools,316,Crossnore Elementary,0.30, , 
060,Avery County Schools,318,Avery Middle,0.28, , 
060,Avery County Schools,322,Freedom Trail Elementary,0.36, , 
060,Avery County Schools,328,Newland Elementary,0.35, , 
060,Avery County Schools,332,Riverside Elementary,0.26, , 
070,Beaufort County Schools,302,Eastern Elementary,0.70,X,X
070,Beaufort County Schools,308,Bath Elementary,0.27, ,X
070,Beaufort County Schools,310,B C Ed Tech Center,0.86,X,X
070,Beaufort County Schools,311,Beaufort County Early College High School,0.44,X, 
070,Beaufort County Schools,325,Chocowinity Middle,0.64,X,X
070,Beaufort County Schools,326,Chocowinity Primary,0.67,X,X
070,Beaufort County Schools,327,John C Tayloe Elementary,0.63,X,X
070,Beaufort County Schools,328,John Small Elementary,0.65,X,X
070,Beaufort County Schools,329,Northeast Elementary,0.55,X,X
070,Beaufort County Schools,330,Northside High,0.42,X,X
070,Beaufort County Schools,338,P S Jones Middle,0.60,X,X
070,Beaufort County Schools,339,Southside High,0.60,X,X
070,Beaufort County Schools,340,S W Snowden Elementary,0.84,X,X
070,Beaufort County Schools,342,Washington High,0.51,X,X
080,Bertie County Schools,311,Bertie Early College,0.31, ,X
080,Bertie County Schools,312,Bertie High,0.57,X,X
080,Bertie County Schools,314,Bertie Middle School,0.59,X,X
080,Bertie County Schools,348,Aulander Elementary,0.66,X,X
080,Bertie County Schools,356,West Bertie Elementary,0.68,X,X
080,Bertie County Schools,360,Colerain Elementary,0.66,X,X
080,Bertie County Schools,362,Windsor Elementary,0.63,X,X
090,Bladen County Schools,315,Bladenboro Middle,0.74,X,X
090,Bladen County Schools,317,Bladenboro Primary,0.83,X,X
090,Bladen County Schools,318,Bladen Lakes Primary,0.81,X,X
090,Bladen County Schools,320,Clarkton Sch of Discovery,0.71,X,X
090,Bladen County Schools,324,Dublin Primary,0.83,X,X
090,Bladen County Schools,328,East Arcadia Elementary,0.83,X,X
090,Bladen County Schools,330,East Bladen High,0.70,X,X
090,Bladen County Schools,332,Elizabethtown Middle,0.77,X,X
090,Bladen County Schools,333,Elizabethtown Primary,0.85,X,X
090,Bladen County Schools,352,Plain View Primary,0.74,X,X
090,Bladen County Schools,365,Tar Heel Middle,0.81,X,X
090,Bladen County Schools,368,West Bladen High,0.71,X,X
090,Bladen County Schools,376,Bladen Early College,0.72,X,X
100,Brunswick County Schools,302,Belville Elementary,0.51,X, 
100,Brunswick County Schools,304,Bolivia Elementary,0.66,X, 
100,Brunswick County Schools,307,Brunswick Early College,0.42,X, 
100,Brunswick County Schools,308,Brunswick County Academy,0.76,X, 
100,Brunswick County Schools,309,Cedar Grove Middle School,0.67,X, 
100,Brunswick County Schools,310,Jessie Mae Monroe Elementary,0.60,X, 
100,Brunswick County Schools,316,Leland Middle,0.62,X, 
100,Brunswick County Schools,320,Lincoln Elementary,0.75,X, 
100,Brunswick County Schools,326,North Brunswick High,0.57,X, 
100,Brunswick County Schools,332,Shallotte Middle,0.57,X, 
100,Brunswick County Schools,334,South Brunswick High,0.47,X, 
100,Brunswick County Schools,335,South Brunswick Middle,0.56,X, 
100,Brunswick County Schools,336,Southport Elementary,0.49,X, 
100,Brunswick County Schools,338,Supply Elementary,0.78,X, 
100,Brunswick County Schools,339,Town Creek Elementary School,0.58,X, 
100,Brunswick County Schools,340,Union Elementary,0.53,X, 
100,Brunswick County Schools,342,Virginia Williamson Elem,0.70,X, 
100,Brunswick County Schools,344,Waccamaw Elementary,0.63,X, 
100,Brunswick County Schools,348,West Brunswick High,0.52,X, 
110,Buncombe County Schools,303,Community High School,0.69,X, 
110,Buncombe County Schools,304,A C Reynolds High,0.21, , 
110,Buncombe County Schools,306,A C Reynolds Middle,0.35, , 
110,Buncombe County Schools,308,Barnardsville Elementary,0.44,X, 
110,Buncombe County Schools,318,Black Mountain Elementary,0.30, , 
110,Buncombe County Schools,320,Black Mountain Primary,0.30, , 
110,Buncombe County Schools,322,Buncombe County Early College,0.21, , 
110,Buncombe County Schools,324,Candler Elementary,0.44,X,X
110,Buncombe County Schools,326,Cane Creek Middle,0.16, , 
110,Buncombe County Schools,332,Charles C Bell Elementary,0.31, , 
110,Buncombe County Schools,336,Charles D Owen High,0.23, , 
110,Buncombe County Schools,338,Charles D Owen Middle,0.32, , 
110,Buncombe County Schools,340,Clyde A Erwin High,0.31, , 
110,Buncombe County Schools,342,Clyde A Erwin Middle,0.40,X, 
110,Buncombe County Schools,348,Emma Elementary,0.46,X,X
110,Buncombe County Schools,352,Enka High,0.27, , 
110,Buncombe County Schools,356,Fairview Elementary,0.23, , 
110,Buncombe County Schools,366,Glen Arden Elementary,0.17, , 
110,Buncombe County Schools,368,Haw Creek Elementary,0.30, , 
110,Buncombe County Schools,370,Hominy Valley Elementary,0.27, , 
110,Buncombe County Schools,372,Johnston Elementary,0.58,X,X
110,Buncombe County Schools,376,Leicester Elementary,0.40,X, 
110,Buncombe County Schools,379,North Buncombe Elementary,0.28, , 
110,Buncombe County Schools,380,North Buncombe High,0.21, , 
110,Buncombe County Schools,381,North Buncombe Middle,0.24, , 
110,Buncombe County Schools,382,North Windy Ridge,0.28, , 
110,Buncombe County Schools,384,Oakley Elementary,0.49,X,X
110,Buncombe County Schools,388,Pisgah Elementary,0.36, , 
110,Buncombe County Schools,401,Enka Middle,0.36, , 
110,Buncombe County Schools,408,Sand Hill-Venable Elem,0.42,X, 
110,Buncombe County Schools,410,Avery's Creek Elementary,0.40, , 
110,Buncombe County Schools,412,W D Williams Elementary,0.37, , 
110,Buncombe County Schools,416,T C Roberson High,0.19, , 
110,Buncombe County Schools,420,Valley Springs Middle,0.25, , 
110,Buncombe County Schools,422,William W Estes Elementary,0.27, , 
110,Buncombe County Schools,425,Enka Intermediate School,0.37, , 
110,Buncombe County Schools,428,Weaverville Elementary,0.23, , 
110,Buncombe County Schools,432,Weaverville Primary,0.23, , 
110,Buncombe County Schools,436,West Buncombe Elementary,0.34, , 
110,Buncombe County Schools,444,Woodfin Elementary,0.44,X,X
110,Buncombe County Schools,450,Charles T. Koontz Intermediate,0.29, , 
110,Buncombe County Schools,451,Joe P. Eblen Intermediate,0.44,X, 
110,Buncombe County Schools,500,Nesbitt Discovery Academy,0.09, , 
111,Asheville City Schools,302,Asheville High,0.21, , 
111,Asheville City Schools,304,Hall Fletcher Elementary,0.42,X, 
111,Asheville City Schools,306,Isaac Dickson Elementary,0.27, , 
111,Asheville City Schools,307,Asheville Primary School,0.23, , 
111,Asheville City Schools,312,Claxton Elementary,0.28, , 
111,Asheville City Schools,332,Ira B Jones Elementary,0.32, , 
111,Asheville City Schools,356,Asheville Middle,0.29, , 
111,Asheville City Schools,360,Vance Elementary,0.35, , 
111,Asheville City Schools,369,Montford North Star Academy,0.31, , 
111,Asheville City Schools,700,School of Inquiry & Life Science,0.16, , 
120,Burke County Schools,308,Hallyburton Academy,0.51,X, 
120,Burke County Schools,310,Burke Middle College,0.08, , 
120,Burke County Schools,312,Drexel Elementary,0.39, , 
120,Burke County Schools,314,East Burke High,0.25, , 
120,Burke County Schools,315,East Burke Middle,0.36, , 
120,Burke County Schools,316,Forest Hill Elementary,0.38, , 
120,Burke County Schools,318,Freedom High,0.27, , 
120,Burke County Schools,320,George Hildebrand Elementary,0.42,X, 
120,Burke County Schools,324,Glen Alpine Elementary,0.46,X, 
120,Burke County Schools,334,Heritage Middle,0.29, , 
120,Burke County Schools,338,Hildebran Elementary,0.43,X, 
120,Burke County Schools,340,Hillcrest Elementary,0.47,X, 
120,Burke County Schools,344,Icard Elementary,0.43,X, 
120,Burke County Schools,346,Jimmy C. Draughn High School,0.25, , 
120,Burke County Schools,350,Liberty Middle,0.27, , 
120,Burke County Schools,352,North Liberty,0.25, , 
120,Burke County Schools,354,Mountain View Elementary School,0.46,X, 
120,Burke County Schools,360,Mull Elementary,0.42,X, 
120,Burke County Schools,364,Oak Hill Elementary,0.35, , 
120,Burke County Schools,368,Ray Childers Elementary,0.44,X, 
120,Burke County Schools,370,Robert L. Patton High School,0.20, , 
120,Burke County Schools,374,Salem Elementary,0.33, , 
120,Burke County Schools,376,Table Rock Middle,0.35, , 
120,Burke County Schools,380,Valdese Elementary,0.38, , 
120,Burke County Schools,386,W A Young Elementary,0.38, , 
120,Burke County Schools,390,Walter R Johnson Middle,0.41,X, 
130,Cabarrus County Schools,114,Mary Frances Wall,0.21, , 
130,Cabarrus County Schools,304,A T Allen Elementary,0.34, , 
130,Cabarrus County Schools,307,Cox Mill High School,0.05, , 
130,Cabarrus County Schools,308,Bethel Elementary,0.28, , 
130,Cabarrus County Schools,309,Beverly Hills Elementary,0.31, ,X
130,Cabarrus County Schools,310,Central Cabarrus High,0.23, , 
130,Cabarrus County Schools,311,Coltrane Webb Magnet Elementary,0.27, , 
130,Cabarrus County Schools,312,Harrisburg Elementary,0.06, , 
130,Cabarrus County Schools,313,Concord Middle,0.50,X,X
130,Cabarrus County Schools,314,Concord High,0.32, , 
130,Cabarrus County Schools,315,JN Fries Magnet Middle,0.20, , 
130,Cabarrus County Schools,316,Jay M Robinson High,0.27, , 
130,Cabarrus County Schools,317,Opportunity School,0.52,X,X
130,Cabarrus County Schools,318,C C Griffin Middle,0.26, , 
130,Cabarrus County Schools,319,Cox Mill Elementary,0.03, , 
130,Cabarrus County Schools,320,Harris Road Middle,0.07, , 
130,Cabarrus County Schools,321,Carl A Furr Elementary,0.29, , 
130,Cabarrus County Schools,322,Mount Pleasant Elementary,0.25, , 
130,Cabarrus County Schools,323,Mount Pleasant Middle,0.22, , 
130,Cabarrus County Schools,324,Mount Pleasant High,0.17, , 
130,Cabarrus County Schools,325,Charles E. Boger Elementary,0.25, , 
130,Cabarrus County Schools,326,Northwest Cabarrus High,0.20, , 
130,Cabarrus County Schools,327,Northwest Cabarrus Middle,0.30, , 
130,Cabarrus County Schools,328,Royal Oaks Elementary,0.47,X,X
130,Cabarrus County Schools,329,Rocky River Elementary,0.37, , 
130,Cabarrus County Schools,330,R B McAllister Elementary,0.27, , 
130,Cabarrus County Schools,331,Pitts School Road Elementary,0.18, , 
130,Cabarrus County Schools,332,Hickory Ridge High School,0.08, , 
130,Cabarrus County Schools,333,Performance Learning Center,0.18, , 
130,Cabarrus County Schools,336,W R Odell Elementary,0.07, , 
130,Cabarrus County Schools,337,Odell Intermediate School,0.07, , 
130,Cabarrus County Schools,338,Weddington Hills Elementary,0.33, , 
130,Cabarrus County Schools,340,Winecoff Elementary,0.41,X,X
130,Cabarrus County Schools,342,W M Irvin Elementary,0.50,X,X
130,Cabarrus County Schools,344,Wolf Meadow Elementary,0.55,X,X
130,Cabarrus County Schools,345,Patriot's Elementary School,0.13, , 
130,Cabarrus County Schools,346,Hickory Ridge Middle School,0.10, , 
130,Cabarrus County Schools,349,Cabarrus Early College of Technology,0.15, , 
130,Cabarrus County Schools,350,Cabarrus-Kannapolis Early College High School,0.19, , 
130,Cabarrus County Schools,355,Winkler Middle School,0.28, , 
132,Kannapolis City Schools,240,McKnight Head Start,1.00,X,X
132,Kannapolis City Schools,304,A L Brown High,0.34, ,X
132,Kannapolis City Schools,308,Forest Park Elementary,0.43,X,X
132,Kannapolis City Schools,312,Fred L Wilson Elementary,0.48,X,X
132,Kannapolis City Schools,314,GW Carver Elementary,0.32, ,X
132,Kannapolis City Schools,328,Jackson Park Elementary,0.42,X,X
132,Kannapolis City Schools,330,Kannapolis Middle,0.40,X,X
132,Kannapolis City Schools,332,Shady Brook Elementary,0.50,X,X
132,Kannapolis City Schools,336,Woodrow Wilson Elementary,0.62,X,X
140,Caldwell County Schools,304,Baton Elementary,0.40,X, 
140,Caldwell County Schools,305,Caldwell Co Career Ctr,0.19, , 
140,Caldwell County Schools,306,Caldwell Co Gateway Sch,0.59,X,X
140,Caldwell County Schools,307,Horizons Elementary,0.66,X,X
140,Caldwell County Schools,308,Collettsville School,0.38, , 
140,Caldwell County Schools,309,Caldwell County Early College,0.11, , 
140,Caldwell County Schools,312,Davenport Elementary,0.50,X, 
140,Caldwell County Schools,316,Dudley Shoals Elementary,0.26, , 
140,Caldwell County Schools,324,Gamewell Elementary,0.48,X,X
140,Caldwell County Schools,332,Gamewell Middle,0.46,X, 
140,Caldwell County Schools,336,Granite Falls Middle,0.24, , 
140,Caldwell County Schools,340,Granite Falls Elementary,0.32, , 
140,Caldwell County Schools,344,Happy Valley Elementary,0.45,X, 
140,Caldwell County Schools,348,Hibriten High,0.29, , 
140,Caldwell County Schools,352,Hudson Elementary,0.35, , 
140,Caldwell County Schools,356,Hudson Middle,0.33, , 
140,Caldwell County Schools,360,Kings Creek Elementary,0.36, , 
140,Caldwell County Schools,368,William Lenoir Middle,0.37, , 
140,Caldwell County Schools,372,Lower Creek Elementary,0.28, , 
140,Caldwell County Schools,376,Oak Hill Elementary,0.49,X, 
140,Caldwell County Schools,384,Sawmills Elementary,0.40, , 
140,Caldwell County Schools,386,South Caldwell High,0.25, , 
140,Caldwell County Schools,388,Valmead Basic,0.70,X,X
140,Caldwell County Schools,390,West Caldwell High,0.44,X, 
140,Caldwell County Schools,392,West Lenoir Elementary,0.68,X,X
140,Caldwell County Schools,396,Whitnel Elementary,0.51,X,X
150,Camden County Schools,304,Camden County High,0.10, , 
150,Camden County Schools,308,Grandy Primary,0.18, , 
150,Camden County Schools,310,Camden Intermediate School,0.14, , 
150,Camden County Schools,312,Camden Middle,0.17, , 
150,Camden County Schools,350,Camden Early College High School,0.07, , 
160,Carteret County Public Schools,169,Carteret PreSchool Center,0.65,X, 
160,Carteret County Public Schools,304,Atlantic Elementary,0.84,X, 
160,Carteret County Public Schools,306,Bogue Sound Elementary,0.62,X, 
160,Carteret County Public Schools,308,Beaufort Elementary,0.71,X, 
160,Carteret County Public Schools,309,Bridges Learning Center,0.83,X, 
160,Carteret County Public Schools,310,Beaufort Middle,0.68,X, 
160,Carteret County Public Schools,311,Broad Creek Middle,0.39, , 
160,Carteret County Public Schools,313,East Carteret High,0.59,X, 
160,Carteret County Public Schools,314,Croatan High,0.30, , 
160,Carteret County Public Schools,316,Harkers Island Elementary,0.78,X, 
160,Carteret County Public Schools,317,Morehead Elem at Camp Glenn,0.61,X, 
160,Carteret County Public Schools,318,Morehead City Middle,0.52,X, 
160,Carteret County Public Schools,322,Morehead City Primary,0.61,X, 
160,Carteret County Public Schools,324,Newport Elementary,0.72,X, 
160,Carteret County Public Schools,326,Newport Middle,0.64,X, 
160,Carteret County Public Schools,332,Smyrna Elementary,0.77,X, 
160,Carteret County Public Schools,343,Marine Science and Technology Early College High School,0.59,X, 
160,Carteret County Public Schools,344,West Carteret High,0.48,X, 
160,Carteret County Public Schools,352,White Oak Elementary,0.36, , 
170,Caswell County Schools,316,Bartlett Yancey High,0.39, , 
170,Caswell County Schools,334,North Elementary,0.56,X,X
170,Caswell County Schools,338,N L Dillard Middle,0.48,X, 
170,Caswell County Schools,339,Oakwood Elementary,0.64,X,X
170,Caswell County Schools,342,South Elementary,0.50,X,X
170,Caswell County Schools,344,Stoney Creek Elementary,0.49,X,X
180,Catawba County Schools,302,Harry M Arndt Middle,0.24, , 
180,Catawba County Schools,304,Balls Creek Elementary,0.28, , 
180,Catawba County Schools,308,Bandys High,0.13, , 
180,Catawba County Schools,312,Banoak Elementary,0.38, , 
180,Catawba County Schools,316,Blackburn Elementary,0.27, , 
