"school_no","school_name","year","unpaid"
"304","Bethesda","2010-11",3076.28
"306","Brogden","2010-11",3068.58
"308","Burton","2010-11",2155.15
"309","Early College","2010-11",353.59
"310","Eastway","2010-11",3310.58
"312","Jordan","2010-11",4443.74
"313","Easley","2010-11",996.44
"314","School for Creative Studies","2010-11",11900.86
"315","Eno Valley","2010-11",1294.83
"316","Carrington","2010-11",6542.21
"317","City of Medicine","2010-11",394.44
"318","Club","2010-11",823.53
"319","Creekside","2010-11",1769.99
"320","Glenn","2010-11",4991.93
"322","Performance Learning Center","2010-11",1252.15
"323","Durham School of the Arts","2010-11",4656.79
"324","Hillandale","2010-11",5865.22
"325","Hillside","2010-11",14934.24
"327","Hope Valley","2010-11",4974.33
"328","Holt","2010-11",3781.41
"332","Forestview","2010-11",1598.98
"336","DPS Hospital School","2010-11",0
"338","Shepard","2010-11",4006.53
"339","Lakewood Elementary","2010-11",1443.1
"340","Little River","2010-11",2150.84
"341","Lakeview","2010-11",5220.34
"342","Lakewood Middle","2010-11",1020.1
"343","Lucas","2010-11",0
"344","Fayetteville Street","2010-11",2159.77
"346","Lowe's Grove","2010-11",2526.34
"347","George Watts","2010-11",1145.3
"348","Mangum","2010-11",1907.68
"352","Merrick Moore","2010-11",14009.16
"353","Middle College","2010-11",0
"354","Morehead","2010-11",383.52
"355","Neal","2010-11",9068.58
"356","Northern","2010-11",5401.31
"360","Oak Grove","2010-11",2868.07
"362","Parkwood","2010-11",1842.45
"363","E K Powe","2010-11",558.3
"364","Pearsontown","2010-11",6858.41
"365","Riverside","2010-11",8439.86
"366","Githens","2010-11",17236.79
"367","R N Harris","2010-11",5331.77
"368","Southern","2010-11",1843.48
"369","Sandy Ridge","2010-11",0
"370","Rogers Herr","2010-11",6810.77
"372","Southwest","2010-11",4213.35
"374","C C Spaulding","2010-11",1323.03
"376","Spring Valley","2010-11",1459.7
"388","W G Pearson Elementary","2010-11",3525.73
"389"," W G Pearson Middle","2010-11",494.22
"400","Y E Smith","2010-11",5515.88
"700","Southern STEM","2010-11",120.43
"701","Hillside New Tech","2010-11",4236.79
"304","Bethesda","2011-12",1542.9
"306","Brogden","2011-12",918.12
"308","Burton","2011-12",2737.82
"309","Early College","2011-12",301.5
"310","Eastway","2011-12",1618.2
"312","Jordan","2011-12",2456.75
"313","Easley","2011-12",3428.33
"314","School for Creative Studies","2011-12",1656.51
"315","Eno Valley","2011-12",879.59
"316","Carrington","2011-12",1499.83
"317","City of Medicine","2011-12",378.51
"318","Club","2011-12",360.36
"319","Creekside","2011-12",651.45
"320","Glenn","2011-12",1831.95
"322","Performance Learning Center","2011-12",1384.45
"323","Durham School of the Arts","2011-12",1207.74
"324","Hillandale","2011-12",985.38
"325","Hillside","2011-12",1566.51
"327","Hope Valley","2011-12",3211.11
"328","Holt","2011-12",177.95
"332","Forestview","2011-12",1267.32
"336","DPS Hospital School","2011-12",0
"338","Shepard","2011-12",1238.97
"339","Lakewood Elementary","2011-12",296.42
"340","Little River","2011-12",363.62
"341","Lakeview","2011-12",3656.88
"342","Lakewood Middle","2011-12",330.25
"343","Lucas","2011-12",1139.02
"344","Fayetteville Street","2011-12",841.88
"346","Lowe's Grove","2011-12",1201.38
"347","George Watts","2011-12",471.65
"348","Mangum","2011-12",933.62
"352","Merrick Moore","2011-12",20546.43
"353","Middle College","2011-12",0
"354","Morehead","2011-12",285.5
"355","Neal","2011-12",13574.29
"356","Northern","2011-12",1913.96
"360","Oak Grove","2011-12",1432.23
"362","Parkwood","2011-12",1074.95
"363","E K Powe","2011-12",456.08
"364","Pearsontown","2011-12",1212.74
"365","Riverside","2011-12",1202.99
"366","Githens","2011-12",8670.77
"367","R N Harris","2011-12",3190.91
"368","Southern","2011-12",2263.8
"369","Sandy Ridge","2011-12",1091.01
"370","Rogers Herr","2011-12",1038.78
"372","Southwest","2011-12",2116.21
"374","C C Spaulding","2011-12",649.76
"376","Spring Valley","2011-12",354.75
"388","W G Pearson Elementary","2011-12",602.06
"389"," W G Pearson Middle","2011-12",677.25
"400","Y E Smith","2011-12",10247.63
"700","Southern STEM","2011-12",442.49
"701","Hillside New Tech","2011-12",245.65
"304","Bethesda","2012-13",1587.6
"306","Brogden","2012-13",818.15
"308","Burton","2012-13",2518.05
"309","Early College","2012-13",187.75
"310","Eastway","2012-13",1522.85
"312","Jordan","2012-13",2632.55
"313","Easley","2012-13",3935.1
"314","School for Creative Studies","2012-13",1743.98
"315","Eno Valley","2012-13",914.84
